# RDF data (Ar - Ar) 
# r, Å; g(r); Distance histogram 
 0.025        0.000        0.000
 0.050        0.000        0.000
 0.075        0.000        0.000
 0.100        0.000        0.000
 0.125        0.000        0.000
 0.150        0.000        0.000
 0.175        0.000        0.000
 0.200        0.000        0.000
 0.225        0.000        0.000
 0.250        0.000        0.000
 0.275        0.000        0.000
 0.300        0.000        0.000
 0.325        0.000        0.000
 0.350        0.000        0.000
 0.375        0.000        0.000
 0.400        0.000        0.000
 0.425        0.000        0.000
 0.450        0.000        0.000
 0.475        0.000        0.000
 0.500        0.000        0.000
 0.525        0.000        0.000
 0.550        0.000        0.000
 0.575        0.000        0.000
 0.600        0.000        0.000
 0.625        0.000        0.000
 0.650        0.000        0.000
 0.675        0.000        0.000
 0.700        0.000        0.000
 0.725        0.000        0.000
 0.750        0.000        0.000
 0.775        0.000        0.000
 0.800        0.000        0.000
 0.825        0.000        0.000
 0.850        0.000        0.000
 0.875        0.000        0.000
 0.900        0.000        0.000
 0.925        0.000        0.000
 0.950        0.000        0.000
 0.975        0.000        0.000
 1.000        0.000        0.000
 1.025        0.000        0.000
 1.050        0.000        0.000
 1.075        0.000        0.000
 1.100        0.000        0.000
 1.125        0.000        0.000
 1.150        0.000        0.000
 1.175        0.000        0.000
 1.200        0.000        0.000
 1.225        0.000        0.000
 1.250        0.000        0.000
 1.275        0.000        0.000
 1.300        0.000        0.000
 1.325        0.000        0.000
 1.350        0.000        0.000
 1.375        0.000        0.000
 1.400        0.000        0.000
 1.425        0.000        0.000
 1.450        0.000        0.000
 1.475        0.000        0.000
 1.500        0.000        0.000
 1.525        0.000        0.000
 1.550        0.000        0.000
 1.575        0.000        0.000
 1.600        0.000        0.000
 1.625        0.000        0.000
 1.650        0.000        0.000
 1.675        0.000        0.000
 1.700        0.000        0.000
 1.725        0.000        0.000
 1.750        0.000        0.000
 1.775        0.000        0.000
 1.800        0.000        0.000
 1.825        0.000        0.000
 1.850        0.000        0.000
 1.875        0.000        0.000
 1.900        0.000        0.000
 1.925        0.000        0.000
 1.950        0.000        0.000
 1.975        0.000        0.000
 2.000        0.000        0.000
 2.025        0.000        0.000
 2.050        0.000        0.000
 2.075        0.000        0.000
 2.100        0.000        0.000
 2.125        0.000        0.000
 2.150        0.000        0.000
 2.175        0.000        0.000
 2.200        0.000        0.000
 2.225        0.000        0.000
 2.250        0.000        0.000
 2.275        0.000        0.000
 2.300        0.000        0.000
 2.325        0.000        0.000
 2.350        0.000        0.000
 2.375        0.000        0.000
 2.400        0.000        0.000
 2.425        0.000        0.000
 2.450        0.000        0.000
 2.475        0.000        0.000
 2.500        0.000        0.000
 2.525        0.000        0.000
 2.550        0.000        0.000
 2.575        0.000        0.000
 2.600        0.000        0.000
 2.625        0.000        0.000
 2.650        0.000        0.000
 2.675        0.000        0.000
 2.700        0.000        0.000
 2.725        0.000        0.000
 2.750        0.000        0.000
 2.775        0.000        0.000
 2.800        0.000        0.000
 2.825        0.000        0.000
 2.850        0.000        0.000
 2.875        0.000        0.000
 2.900        0.000        0.000
 2.925        0.000        0.000
 2.950        0.000        0.000
 2.975        0.000        0.002
 3.000        0.000        0.007
 3.025        0.001        0.015
 3.050        0.004        0.054
 3.075        0.009        0.134
 3.100        0.021        0.337
 3.125        0.041        0.673
 3.150        0.075        1.243
 3.175        0.127        2.125
 3.200        0.199        3.398
 3.225        0.299        5.171
 3.250        0.424        7.443
 3.275        0.583       10.411
 3.300        0.749       13.571
 3.325        0.955       17.568
 3.350        1.151       21.482
 3.375        1.357       25.710
 3.400        1.575       30.282
 3.425        1.775       34.639
 3.450        1.956       38.737
 3.475        2.136       42.907
 3.500        2.280       46.461
 3.525        2.400       49.602
 3.550        2.492       52.248
 3.575        2.576       54.773
 3.600        2.632       56.747
 3.625        2.658       58.115
 3.650        2.651       58.763
 3.675        2.665       59.867
 3.700        2.637       60.061
 3.725        2.593       59.846
 3.750        2.561       59.907
 3.775        2.505       59.375
 3.800        2.449       58.840
 3.825        2.381       57.947
 3.850        2.307       56.875
 3.875        2.233       55.780
